network_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
37,406.1,377.08,337.6,229.53,65.52,201.17,272.29,218.74,317.29,729.82,316.6,198.13,663.61,287.73,41.56,122.1,469.8,158.05,729.75,791.44,381.35,567.01,505.03,612.5,403.63,175.79,196.96,375.09,150.38,347.97,508.04,300.11,150.96,257.38,188.66,231.97,132.29,0,290.76,313.54,301,325.12,284.37,284.38,426.31,342.81,377.5,224.33,384.17,263.64,272.94,332.77,52.69,171.1,789.26,419.51,212.61,707,422.21,353.76,388.19
38,261.84,232.82,193.34,215.55,228.68,187.19,258.31,204.76,223.63,487.52,172.34,104.47,421.31,143.47,322.02,191.32,227.5,186.79,487.45,549.14,98.23,324.71,262.73,370.2,120.51,204.53,225.7,91.97,179.12,64.85,265.74,16.99,147.16,163.72,174.68,75.69,161.03,290.76,0,30.42,17.88,82.82,18.59,42.08,143.19,59.69,135.2,84.87,239.91,33.34,128.68,90.47,252.23,128.98,546.96,177.21,151.65,464.7,277.95,111.46,105.07
39,284.62,255.6,216.12,238.33,251.46,209.97,281.09,227.54,246.41,510.3,195.12,127.25,444.09,166.25,344.8,214.1,250.28,209.57,510.23,571.92,78.71,347.49,285.51,392.98,100.99,227.31,248.48,72.45,201.9,45.33,288.52,26.23,169.94,186.5,197.46,98.47,183.81,313.54,30.42,0,25.44,105.6,41.37,64.86,123.67,40.17,157.98,107.65,262.69,56.12,151.46,113.25,275.01,151.76,569.74,199.99,174.43,487.48,300.73,134.24,85.55
40,272.08,243.06,203.58,225.79,238.92,197.43,268.55,215,233.87,497.76,182.58,114.71,431.55,153.71,332.26,201.56,237.74,197.03,497.69,559.38,93.25,334.95,272.97,380.44,115.53,214.77,235.94,86.99,189.36,59.87,275.98,13.69,157.4,173.96,184.92,85.93,171.27,301,17.88,25.44,0,93.06,28.83,52.32,138.21,54.71,145.44,95.11,250.15,43.58,138.92,100.71,262.47,139.22,557.2,187.45,161.89,474.94,288.19,121.7,100.09
41,296.2,267.18,227.7,249.91,263.04,221.55,292.67,239.12,257.99,430.8,206.7,138.83,364.59,177.83,356.38,225.68,170.78,221.15,430.73,492.42,173.41,267.99,206.01,313.48,195.69,238.89,260.06,167.15,213.48,140.03,209.02,92.17,181.52,198.08,209.04,110.05,195.39,325.12,82.82,105.6,93.06,0,76.43,47.14,218.37,134.87,78.48,119.23,274.27,67.7,163.04,33.75,286.59,163.34,490.24,120.49,186.01,407.98,312.31,54.74,180.25
42,255.45,226.43,186.95,209.16,222.29,180.8,251.92,198.37,217.24,481.13,165.95,98.08,414.92,137.08,315.63,184.93,221.11,180.4,481.06,542.75,109.18,318.32,256.34,363.81,131.46,198.14,219.31,102.92,172.73,75.8,259.35,27.94,140.77,157.33,168.29,69.3,154.64,284.37,18.59,41.37,28.83,76.43,0,35.69,154.14,70.64,128.81,78.48,233.52,26.95,122.29,84.08,245.84,122.59,540.57,170.82,145.26,458.31,271.56,105.07,116.02
43,255.46,226.44,186.96,209.17,222.3,180.81,251.93,198.38,217.25,451.84,165.96,98.09,385.63,137.09,315.64,184.94,191.82,180.41,451.77,513.46,132.67,289.03,227.05,334.52,154.95,198.15,219.32,126.41,172.74,99.29,230.06,51.43,140.78,157.34,168.3,69.31,154.65,284.38,42.08,64.86,52.32,47.14,35.69,0,177.63,94.13,99.52,78.49,233.53,26.96,122.3,54.79,245.85,122.6,511.28,141.53,145.27,429.02,271.57,75.78,139.51
44,397.39,368.37,328.89,351.1,364.23,322.74,393.86,340.31,359.18,623.07,307.89,240.02,556.86,279.02,457.57,326.87,363.05,322.34,623,684.69,69.62,460.26,398.28,505.75,91.9,340.08,361.25,75.36,314.67,93.38,401.29,139,282.71,299.27,310.23,211.24,296.58,426.31,143.19,123.67,138.21,218.37,154.14,177.63,0,106.02,270.75,220.42,375.46,168.89,264.23,226.02,387.78,264.53,682.51,312.76,287.2,600.25,413.5,247.01,49.62
45,313.89,284.87,245.39,267.6,280.73,239.24,310.36,256.81,275.68,539.57,224.39,156.52,473.36,195.52,374.07,243.37,279.55,238.84,539.5,601.19,61.06,376.76,314.78,422.25,83.34,256.58,277.75,54.8,231.17,27.68,317.79,55.5,199.21,215.77,226.73,127.74,213.08,342.81,59.69,40.17,54.71,134.87,70.64,94.13,106.02,0,187.25,136.92,291.96,85.39,180.73,142.52,304.28,181.03,599.01,229.26,203.7,516.75,330,163.51,67.9
46,348.58,319.56,280.08,302.29,315.42,273.93,345.05,291.5,310.37,364.16,259.08,191.21,297.95,230.21,408.76,278.06,104.14,273.53,364.09,425.78,225.79,201.35,139.37,246.84,248.07,291.27,312.44,219.53,265.86,192.41,142.38,144.55,233.9,250.46,261.42,162.43,247.77,377.5,135.2,157.98,145.44,78.48,128.81,99.52,270.75,187.25,0,171.61,326.65,120.08,215.42,54.17,338.97,215.72,423.6,53.85,238.39,341.34,364.69,51.62,232.63
47,200.21,171.19,131.71,149.12,162.25,120.76,191.88,138.33,157.2,523.93,110.71,38.04,457.72,81.84,255.59,124.89,263.91,120.36,523.86,585.55,175.46,361.12,299.14,406.61,197.74,138.1,159.27,169.2,112.69,142.08,302.15,94.22,80.73,97.29,108.25,26.08,94.6,224.33,84.87,107.65,95.11,119.23,78.48,78.49,220.42,136.92,171.61,0,178.28,57.75,67.05,126.88,185.8,62.55,583.37,213.62,85.22,501.11,216.32,147.87,182.3
48,122.89,93.87,54.39,308.96,322.09,280.6,351.72,298.17,317.04,678.97,155.89,197.88,612.76,107.54,415.43,284.73,418.95,280.2,678.9,740.59,330.5,516.16,454.18,561.65,352.78,297.94,319.11,324.24,272.53,297.12,457.19,249.26,240.57,257.13,268.09,181.12,254.44,384.17,239.91,262.69,250.15,274.27,233.52,233.53,375.46,291.96,326.65,178.28,0,212.79,124.23,281.92,345.64,222.39,738.41,368.66,245.06,656.15,139,302.91,337.34
49,234.72,205.7,166.22,188.43,201.56,160.07,231.19,177.64,196.51,472.4,145.22,77.35,406.19,116.35,294.9,164.2,212.38,159.67,472.33,534.02,123.93,309.59,247.61,355.08,146.21,177.41,198.58,117.67,152,90.55,250.62,42.69,120.04,136.6,147.56,48.57,133.91,263.64,33.34,56.12,43.58,67.7,26.95,26.96,168.89,85.39,120.08,57.75,212.79,0,101.56,75.35,225.11,101.86,531.84,162.09,124.53,449.58,250.83,96.34,130.77
50,146.16,117.14,77.66,197.73,210.86,169.37,240.49,186.94,205.81,567.74,56.66,86.65,501.53,27.79,304.2,173.5,307.72,168.97,567.67,629.36,219.27,404.93,342.95,450.42,241.55,186.71,207.88,213.01,161.3,185.89,345.96,138.03,129.34,145.9,156.86,69.89,143.21,272.94,128.68,151.46,138.92,163.04,122.29,122.3,264.23,180.73,215.42,67.05,124.23,101.56,0,170.69,234.41,111.16,627.18,257.43,133.83,544.92,162.27,191.68,226.11
